period_start,device_type,site,days_monitored,days_present,percent_occurrence,mean_chla
8/12/15,Archival,A7M,8,0,0,
8/12/15,Archival,T2M,8,0,0,
8/20/15,Archival,A2M,4,0,0,
8/20/15,Archival,A7M,8,0,0,
8/20/15,Archival,T2M,8,0,0,
8/28/15,Archival,A7M,8,0,0,
8/28/15,Archival,T2M,8,1,12.5,
9/5/15,Archival,A7M,8,0,0,
9/5/15,Archival,T2M,8,0,0,
9/13/15,Archival,A2M,2,0,0,
9/13/15,Archival,A7M,8,0,0,
9/13/15,Archival,T2M,8,0,0,
9/21/15,Archival,A2M,8,0,0,
9/21/15,Archival,A7M,8,0,0,
9/21/15,Archival,T2M,8,0,0,
9/29/15,Archival,A2M,8,0,0,
9/29/15,Archival,A7M,8,0,0,
9/29/15,Archival,T2M,8,0,0,
10/7/15,Archival,A2M,8,0,0,
10/7/15,Archival,A7M,8,0,0,
10/7/15,Archival,T2M,8,0,0,
10/15/15,Archival,A2M,8,0,0,
10/15/15,Archival,A7M,8,0,0,
10/15/15,Archival,T2M,8,0,0,
10/23/15,Archival,A2M,8,0,0,
10/23/15,Archival,A7M,8,0,0,
10/23/15,Archival,T2M,8,0,0,
10/31/15,Archival,A2M,8,1,12.5,
10/31/15,Archival,A7M,8,0,0,
10/31/15,Archival,T2M,8,0,0,
11/8/15,Archival,A2M,8,0,0,
11/8/15,Archival,A7M,8,2,25,
11/8/15,Archival,T2M,8,0,0,
11/16/15,Archival,A2M,8,0,0,
11/16/15,Archival,A7M,8,0,0,
11/16/15,Archival,T2M,8,0,0,
11/24/15,Archival,A2M,8,7,87.5,
11/24/15,Archival,A7M,8,4,50,
11/24/15,Archival,T2M,8,2,25,
12/2/15,Archival,A2M,8,6,75,
12/2/15,Archival,A7M,8,5,62.5,
12/2/15,Archival,T2M,8,3,37.5,
12/10/15,Archival,A2M,8,4,50,
12/10/15,Archival,A7M,8,2,25,
12/10/15,Archival,T2M,8,2,25,
12/18/15,Archival,A2M,8,0,0,
12/18/15,Archival,A7M,8,0,0,
12/18/15,Archival,T2M,8,0,0,
12/26/15,Archival,A2M,8,6,75,
12/26/15,Archival,A7M,8,3,37.5,
12/26/15,Archival,T2M,8,3,37.5,
1/3/16,Archival,A2M,8,2,25,
1/3/16,Archival,A7M,8,4,50,
1/3/16,Archival,T2M,8,2,25,
1/11/16,Archival,A2M,8,5,62.5,
1/11/16,Archival,A7M,8,4,50,
1/11/16,Archival,T2M,8,4,50,
1/19/16,Archival,A2M,8,2,25,
1/19/16,Archival,A7M,8,3,37.5,
1/19/16,Archival,T2M,8,4,50,
1/27/16,Archival,A2M,8,8,100,
1/27/16,Archival,A7M,8,8,100,
1/27/16,Archival,T2M,8,8,100,
2/4/16,Archival,A2M,8,6,75,
2/4/16,Archival,A7M,8,8,100,
2/4/16,Archival,T2M,8,8,100,
2/12/16,Archival,A2M,8,4,50,
2/12/16,Archival,A7M,8,3,37.5,
2/12/16,Archival,T2M,8,2,25,
2/20/16,Archival,A2M,8,3,37.5,
2/20/16,Archival,A7M,8,3,37.5,
2/20/16,Archival,T2M,8,1,12.5,
2/28/16,Archival,A2M,7,5,71.42857143,
2/28/16,Archival,A7M,7,5,71.42857143,
2/28/16,Archival,T2M,7,4,57.14285714,
3/7/16,Archival,A2M,8,6,75,
3/7/16,Archival,A7M,8,6,75,
3/7/16,Archival,T2M,8,7,87.5,
3/15/16,Archival,A2M,8,7,87.5,
3/15/16,Archival,A7M,8,7,87.5,
3/15/16,Archival,T2M,8,6,75,
3/23/16,Archival,A2M,8,3,37.5,
3/23/16,Archival,A7M,8,7,87.5,
3/23/16,Archival,T2M,8,7,87.5,
3/31/16,Archival,A2M,8,1,12.5,
3/31/16,Archival,A7M,8,1,12.5,
3/31/16,Archival,T2M,8,1,12.5,
4/8/16,Archival,A2M,8,0,0,
4/8/16,Archival,A7M,8,0,0,
4/8/16,Archival,T2M,8,2,25,
4/16/16,Archival,A2M,8,0,0,
4/16/16,Archival,A7M,8,0,0,
4/16/16,Archival,T2M,8,0,0,
4/24/16,Archival,A2M,8,0,0,
4/24/16,Archival,A7M,8,0,0,
4/24/16,Archival,T2M,8,0,0,
5/2/16,Archival,A2M,8,0,0,
5/2/16,Archival,A7M,8,0,0,
5/2/16,Archival,T2M,8,0,0,
5/10/16,Archival,A2M,8,0,0,
5/10/16,Archival,A7M,8,0,0,
5/10/16,Archival,T2M,8,0,0,
5/18/16,Archival,A2M,8,0,0,
5/18/16,Archival,A7M,8,0,0,
5/18/16,Archival,T2M,8,0,0,
5/26/16,Archival,A2M,8,0,0,
5/26/16,Archival,A7M,8,0,0,
5/26/16,Archival,T2M,8,0,0,
6/3/16,Archival,A2M,8,0,0,
6/3/16,Archival,A7M,8,0,0,
6/3/16,Archival,T2M,8,0,0,
6/11/16,Archival,A2M,8,0,0,
6/11/16,Archival,A7M,8,0,0,
6/11/16,Archival,T2M,8,0,0,
6/19/16,Archival,A2M,8,0,0,
6/19/16,Archival,A7M,8,0,0,
6/19/16,Archival,T2M,8,0,0,
6/27/16,Archival,A2M,8,0,0,
6/27/16,Archival,A7M,8,0,0,
6/27/16,Archival,T2M,8,0,0,
7/5/16,Archival,A2M,8,0,0,
7/5/16,Archival,A7M,8,0,0,
7/5/16,Archival,T2M,8,0,0,
7/13/16,Archival,A2M,5,0,0,
7/13/16,Archival,A7M,5,0,0,
7/13/16,Archival,T2M,5,0,0,
7/21/16,Archival,A2M,4,0,0,
7/21/16,Archival,A7M,4,0,0,
7/21/16,Archival,T2M,4,0,0,
7/29/16,Archival,A2M,8,0,0,
7/29/16,Archival,A7M,8,0,0,
7/29/16,Archival,T2M,8,0,0,
8/6/16,Archival,A2M,8,0,0,
8/6/16,Archival,A7M,8,0,0,
8/6/16,Archival,T2M,8,0,0,
8/14/16,Archival,A2M,8,0,0,
8/14/16,Archival,A7M,8,0,0,
8/14/16,Archival,T2M,8,0,0,
8/22/16,Archival,A2M,8,0,0,
8/22/16,Archival,A7M,8,0,0,
8/22/16,Archival,T2M,8,0,0,
8/30/16,Archival,A2M,8,0,0,
8/30/16,Archival,A7M,8,0,0,
8/30/16,Archival,T2M,8,0,0,
9/7/16,Archival,A2M,8,0,0,
9/7/16,Archival,A7M,8,0,0,
9/7/16,Archival,T2M,8,0,0,
9/15/16,Archival,A2M,8,0,0,
9/15/16,Archival,A7M,8,0,0,
9/15/16,Archival,T2M,8,0,0,
9/23/16,Archival,A2M,8,0,0,
9/23/16,Archival,A7M,8,0,0,
9/23/16,Archival,T2M,8,1,12.5,
10/1/16,Archival,A2M,8,0,0,
10/1/16,Archival,A7M,8,0,0,
10/1/16,Archival,T2M,8,0,0,
10/9/16,Archival,A2M,8,0,0,
10/9/16,Archival,A7M,8,0,0,
10/9/16,Archival,T2M,8,0,0,
10/17/16,Archival,A2M,8,0,0,
10/17/16,Archival,A7M,8,1,12.5,
10/17/16,Archival,T2M,8,1,12.5,
10/25/16,Archival,A2M,8,0,0,
10/25/16,Archival,A7M,8,0,0,
10/25/16,Archival,T2M,8,0,0,
11/2/16,Archival,A2M,8,0,0,
11/2/16,Archival,A7M,8,0,0,
11/2/16,Archival,T2M,8,0,0,
11/10/16,Archival,A2M,8,0,0,
11/10/16,Archival,A7M,8,1,12.5,
11/10/16,Archival,T2M,8,1,12.5,
11/18/16,Archival,A2M,8,2,25,
11/18/16,Archival,A7M,8,1,12.5,
11/18/16,Archival,T2M,8,0,0,
11/26/16,Archival,A2M,7,3,42.85714286,
11/26/16,Archival,A7M,8,1,12.5,
11/26/16,Archival,T2M,8,0,0,
12/4/16,Archival,A2M,8,1,12.5,
12/4/16,Archival,A7M,8,0,0,
12/4/16,Archival,T2M,8,0,0,
12/12/16,Archival,A2M,8,2,25,
12/12/16,Archival,A7M,8,2,25,
12/12/16,Archival,T2M,8,0,0,
12/20/16,Archival,A2M,8,3,37.5,
12/20/16,Archival,A7M,8,3,37.5,
12/20/16,Archival,T2M,8,0,0,
12/28/16,Archival,A2M,8,6,75,
12/28/16,Archival,A7M,8,8,100,
12/28/16,Archival,T2M,1,0,0,
1/5/17,Archival,A2M,8,3,37.5,
1/5/17,Archival,A7M,8,3,37.5,
1/5/17,Archival,T2M,5,2,40,
1/13/17,Archival,A2M,8,4,50,
1/13/17,Archival,A7M,8,3,37.5,
1/13/17,Archival,T2M,8,5,62.5,
1/21/17,Archival,A2M,8,0,0,
1/21/17,Archival,A7M,8,2,25,
1/21/17,Archival,T2M,8,2,25,
1/29/17,Archival,A2M,8,1,12.5,
1/29/17,Archival,A7M,8,1,12.5,
1/29/17,Archival,T2M,8,1,12.5,
2/6/17,Archival,A2M,8,0,0,
2/6/17,Archival,A7M,8,0,0,
2/6/17,Archival,T2M,8,1,12.5,
2/14/17,Archival,A2M,8,0,0,
2/14/17,Archival,A7M,8,0,0,
2/14/17,Archival,T2M,8,0,0,
2/22/17,Archival,A2M,8,0,0,
2/22/17,Archival,A7M,8,0,0,
2/22/17,Archival,T2M,8,0,0,
3/2/17,Archival,A2M,8,1,12.5,
3/2/17,Archival,A7M,8,1,12.5,
3/2/17,Archival,T2M,8,2,25,
3/10/17,Archival,A2M,8,1,12.5,
3/10/17,Archival,A7M,8,2,25,
3/10/17,Archival,T2M,8,1,12.5,
3/18/17,Archival,A2M,8,1,12.5,
3/18/17,Archival,A7M,8,3,37.5,
3/18/17,Archival,T2M,8,2,25,
3/26/17,Archival,A2M,8,1,12.5,
3/26/17,Archival,A7M,8,0,0,
3/26/17,Archival,T2M,8,0,0,
4/3/17,Archival,A2M,8,0,0,
4/3/17,Archival,A7M,8,1,12.5,
4/3/17,Archival,T2M,8,0,0,
4/11/17,Archival,A2M,8,0,0,
4/11/17,Archival,A7M,8,0,0,
4/11/17,Archival,T2M,8,0,0,
4/19/17,Archival,A2M,8,0,0,
4/19/17,Archival,A7M,8,0,0,
4/19/17,Archival,T2M,8,0,0,
4/27/17,Archival,A2M,8,0,0,
4/27/17,Archival,A7M,8,0,0,
4/27/17,Archival,T2M,8,0,0,
5/5/17,Archival,A2M,8,0,0,
5/5/17,Archival,A7M,8,0,0,
5/5/17,Archival,T2M,8,0,0,
5/13/17,Archival,A2M,8,0,0,
5/13/17,Archival,A7M,8,0,0,
5/13/17,Archival,T2M,8,0,0,
5/21/17,Archival,A2M,8,0,0,
5/21/17,Archival,A7M,8,0,0,
5/21/17,Archival,T2M,8,0,0,
5/29/17,Archival,A2M,8,0,0,
5/29/17,Archival,A7M,8,0,0,
5/29/17,Archival,T2M,8,0,0,
6/6/17,Archival,A2M,9,0,0,
6/6/17,Archival,A7M,9,1,11.11111111,
6/6/17,Archival,T2M,9,1,11.11111111,
6/14/17,Archival,A2M,10,1,10,
6/14/17,Archival,A7M,10,2,20,
6/14/17,Archival,T2M,9,1,11.11111111,
6/22/17,Archival,A2M,8,0,0,
6/22/17,Archival,A7M,8,0,0,
6/22/17,Archival,T2M,8,0,0,
6/30/17,Archival,A2M,8,0,0,
6/30/17,Archival,A7M,8,0,0,
6/30/17,Archival,T2M,8,0,0,
7/8/17,Archival,A2M,8,0,0,
7/8/17,Archival,A7M,8,0,0,
7/8/17,Archival,T2M,8,0,0,
7/16/17,Archival,A2M,8,0,0,
7/16/17,Archival,A7M,8,0,0,
7/16/17,Archival,T2M,8,0,0,
7/24/17,Archival,A2M,8,0,0,
7/24/17,Archival,A7M,8,0,0,
7/24/17,Archival,T2M,8,0,0,
8/1/17,Archival,A2M,8,0,0,
8/1/17,Archival,A7M,8,0,0,
8/1/17,Archival,T2M,8,0,0,
8/9/17,Archival,A2M,8,0,0,
8/9/17,Archival,A7M,8,0,0,
8/9/17,Archival,T2M,8,0,0,
8/17/17,Archival,A2M,8,0,0,
8/17/17,Archival,A7M,8,0,0,
8/17/17,Archival,T2M,8,0,0,
8/25/17,Archival,A2M,8,0,0,
8/25/17,Archival,A7M,8,0,0,
8/25/17,Archival,T2M,8,0,0,
9/2/17,Archival,A2M,8,0,0,
9/2/17,Archival,A7M,8,0,0,
9/2/17,Archival,T2M,8,0,0,
9/10/17,Archival,A2M,8,0,0,
9/10/17,Archival,A7M,8,0,0,
9/10/17,Archival,T2M,8,0,0,
9/18/17,Archival,A2M,8,0,0,
9/18/17,Archival,A7M,8,0,0,
9/18/17,Archival,T2M,8,0,0,
9/26/17,Archival,A2M,8,0,0,
9/26/17,Archival,A7M,8,0,0,
9/26/17,Archival,T2M,8,0,0,
10/4/17,Archival,A2M,8,0,0,
10/4/17,Archival,A7M,8,0,0,
10/4/17,Archival,T2M,8,0,0,
10/12/17,Archival,A2M,8,0,0,
10/12/17,Archival,A7M,8,0,0,
10/12/17,Archival,T2M,8,0,0,
10/20/17,Archival,A2M,8,0,0,
10/20/17,Archival,A7M,8,0,0,
10/20/17,Archival,T2M,8,0,0,
10/28/17,Archival,A2M,8,0,0,
10/28/17,Archival,A7M,8,0,0,
10/28/17,Archival,T2M,8,0,0,
11/5/17,Archival,A2M,8,0,0,
11/5/17,Archival,A7M,8,0,0,
11/5/17,Archival,T2M,8,0,0,
11/13/17,Archival,A2M,8,0,0,
11/13/17,Archival,A7M,8,0,0,
11/13/17,Archival,T2M,8,0,0,
11/21/17,Archival,A2M,3,0,0,
11/21/17,Archival,A7M,4,1,25,
11/21/17,Archival,T2M,3,0,0,
5/24/21,RealTime,RTWB,4,0,0,
6/1/21,RealTime,RTWB,8,0,0,
6/9/21,RealTime,RTWB,8,0,0,
6/17/21,RealTime,RTWB,8,1,12.5,
6/25/21,RealTime,RTWB,7,0,0,
7/3/21,RealTime,RTWB,8,0,0,
7/11/21,RealTime,RTWB,8,0,0,
7/19/21,RealTime,RTWB,8,0,0,
7/27/21,RealTime,RTWB,8,0,0,
8/4/21,RealTime,RTWB,8,0,0,
8/12/21,RealTime,RTWB,8,0,0,
8/20/21,RealTime,RTWB,8,0,0,
8/28/21,RealTime,RTWB,8,0,0,
9/5/21,RealTime,RTWB,8,0,0,
9/13/21,RealTime,RTWB,8,0,0,
9/21/21,RealTime,RTWB,8,0,0,
9/29/21,RealTime,RTWB,8,1,12.5,
10/7/21,RealTime,RTWB,8,0,0,
10/15/21,RealTime,RTWB,8,0,0,
10/23/21,RealTime,RTWB,8,0,0,
10/31/21,RealTime,RTWB,8,0,0,
11/8/21,RealTime,RTWB,8,1,12.5,
11/16/21,RealTime,RTWB,8,0,0,
11/24/21,RealTime,RTWB,8,0,0,
12/2/21,RealTime,RTWB,8,3,37.5,
12/10/21,RealTime,RTWB,8,1,12.5,
12/18/21,RealTime,RTWB,8,7,87.5,
12/26/21,RealTime,RTWB,8,4,50,
1/3/22,RealTime,RTWB,8,6,75,
1/11/22,RealTime,RTWB,8,2,25,
1/19/22,RealTime,RTWB,8,0,0,
1/27/22,RealTime,RTWB,7,0,0,
2/4/22,RealTime,RTWB,8,1,12.5,
2/12/22,RealTime,RTWB,8,1,12.5,
2/20/22,RealTime,RTWB,8,1,12.5,
2/28/22,RealTime,RTWB,8,1,12.5,
3/8/22,RealTime,RTWB,8,1,12.5,
3/16/22,RealTime,RTWB,7,2,28.57142857,
3/24/22,RealTime,RTWB,8,1,12.5,
4/1/22,RealTime,RTWB,8,0,0,
4/9/22,RealTime,RTWB,8,0,0,
4/17/22,RealTime,RTWB,8,0,0,
4/25/22,RealTime,RTWB,8,0,0,
5/3/22,RealTime,RTWB,8,0,0,
5/11/22,RealTime,RTWB,8,0,0,
5/19/22,RealTime,RTWB,8,0,0,
5/27/22,RealTime,RTWB,8,0,0,
6/4/22,RealTime,RTWB,8,0,0,
6/12/22,RealTime,RTWB,8,0,0,
6/20/22,RealTime,RTWB,8,0,0,
6/28/22,RealTime,RTWB,8,0,0,
7/6/22,RealTime,RTWB,8,0,0,
7/14/22,RealTime,RTWB,11,0,0,
7/22/22,RealTime,RTWB,9,0,0,
7/30/22,RealTime,RTWB,8,2,25,
8/7/22,RealTime,RTWB,8,0,0,
8/15/22,RealTime,RTWB,8,0,0,
8/23/22,RealTime,RTWB,8,0,0,
8/31/22,RealTime,RTWB,8,0,0,
9/8/22,RealTime,RTWB,8,0,0,
9/16/22,RealTime,RTWB,8,0,0,
9/24/22,RealTime,RTWB,8,0,0,
10/2/22,RealTime,RTWB,8,0,0,
10/10/22,RealTime,RTWB,8,0,0,
10/18/22,RealTime,RTWB,8,0,0,
10/26/22,RealTime,RTWB,8,0,0,
11/3/22,RealTime,RTWB,8,0,0,
11/11/22,RealTime,RTWB,8,1,12.5,
11/19/22,RealTime,RTWB,8,0,0,
11/27/22,RealTime,RTWB,8,1,12.5,
12/5/22,RealTime,RTWB,8,2,25,
12/13/22,RealTime,RTWB,8,2,25,
12/21/22,RealTime,RTWB,8,1,12.5,
12/29/22,RealTime,RTWB,8,4,50,
1/6/23,RealTime,RTWB,8,2,25,
1/14/23,RealTime,RTWB,8,6,75,
1/22/23,RealTime,RTWB,8,5,62.5,
1/30/23,RealTime,RTWB,8,5,62.5,
2/7/23,RealTime,RTWB,8,5,62.5,
2/15/23,RealTime,RTWB,8,6,75,
2/23/23,RealTime,RTWB,8,6,75,
3/3/23,RealTime,RTWB,8,7,87.5,
3/11/23,RealTime,RTWB,8,3,37.5,
3/19/23,RealTime,RTWB,8,0,0,
3/27/23,RealTime,RTWB,8,0,0,
4/4/23,RealTime,RTWB,8,1,12.5,
4/12/23,RealTime,RTWB,8,0,0,
4/20/23,Archival,A2M,8,0,0,
4/20/23,Archival,A7M,8,0,0,
4/20/23,Archival,T2M,8,0,0,
4/20/23,RealTime,RTWB,8,0,0,
4/28/23,Archival,A2M,8,0,0,
4/28/23,Archival,A7M,8,0,0,
4/28/23,Archival,T2M,8,0,0,
4/28/23,RealTime,RTWB,8,0,0,
5/6/23,Archival,A2M,8,0,0,
5/6/23,Archival,A7M,8,0,0,
5/6/23,Archival,T2M,8,0,0,
5/6/23,RealTime,RTWB,8,0,0,
5/14/23,Archival,A2M,8,0,0,
5/14/23,Archival,A7M,8,0,0,
5/14/23,Archival,T2M,8,0,0,
5/14/23,RealTime,RTWB,8,0,0,
5/22/23,Archival,A2M,8,0,0,
5/22/23,Archival,A7M,8,0,0,
5/22/23,Archival,T2M,8,0,0,
5/22/23,RealTime,RTWB,8,0,0,
5/30/23,Archival,A2M,8,0,0,
5/30/23,Archival,A7M,8,0,0,
5/30/23,Archival,T2M,8,0,0,
5/30/23,RealTime,RTWB,8,0,0,
6/7/23,Archival,A2M,8,0,0,
6/7/23,Archival,A7M,8,0,0,
6/7/23,Archival,T2M,8,0,0,
6/7/23,RealTime,RTWB,8,0,0,
6/15/23,Archival,A2M,8,0,0,
6/15/23,Archival,A7M,8,0,0,
6/15/23,Archival,T2M,8,0,0,
6/15/23,RealTime,RTWB,8,0,0,
6/23/23,Archival,A2M,8,0,0,
6/23/23,Archival,A7M,8,0,0,
6/23/23,Archival,T2M,8,0,0,
6/23/23,RealTime,RTWB,8,0,0,
7/1/23,Archival,A2M,8,0,0,
7/1/23,Archival,A7M,8,0,0,
7/1/23,Archival,T2M,8,0,0,
7/1/23,RealTime,RTWB,8,0,0,
7/9/23,Archival,A2M,8,0,0,
7/9/23,Archival,A7M,8,0,0,
7/9/23,Archival,T2M,8,0,0,
7/9/23,RealTime,RTWB,8,0,0,
7/17/23,Archival,A2M,8,0,0,
7/17/23,Archival,A7M,8,0,0,
7/17/23,Archival,T2M,8,0,0,
7/17/23,RealTime,RTWB,8,0,0,
7/25/23,Archival,A2M,8,0,0,
7/25/23,Archival,A7M,8,0,0,
7/25/23,Archival,T2M,8,0,0,
7/25/23,RealTime,RTWB,8,0,0,
8/2/23,Archival,A2M,8,0,0,
8/2/23,Archival,A7M,8,0,0,
8/2/23,Archival,T2M,8,0,0,
8/2/23,RealTime,RTWB,8,0,0,
8/10/23,Archival,A2M,8,0,0,
8/10/23,Archival,A7M,8,0,0,
8/10/23,Archival,T2M,8,0,0,
8/10/23,RealTime,RTWB,8,0,0,
8/18/23,Archival,A2M,8,0,0,
8/18/23,Archival,A7M,8,0,0,
8/18/23,Archival,T2M,8,0,0,
8/18/23,RealTime,RTWB,8,0,0,
8/26/23,Archival,A2M,8,0,0,
8/26/23,Archival,A7M,8,0,0,
8/26/23,Archival,T2M,8,0,0,
8/26/23,RealTime,RTWB,8,0,0,
9/3/23,Archival,A2M,8,0,0,
9/3/23,Archival,A7M,8,0,0,
9/3/23,Archival,T2M,8,0,0,
9/3/23,RealTime,RTWB,8,0,0,
9/11/23,Archival,A2M,8,0,0,
9/11/23,Archival,A7M,8,0,0,
9/11/23,Archival,T2M,8,0,0,
9/11/23,RealTime,RTWB,8,0,0,
9/19/23,Archival,A2M,8,0,0,
9/19/23,Archival,A7M,8,0,0,
9/19/23,Archival,T2M,8,0,0,
9/19/23,RealTime,RTWB,8,0,0,
9/27/23,Archival,A2M,8,0,0,
9/27/23,Archival,A7M,8,0,0,
9/27/23,Archival,T2M,8,0,0,
9/27/23,RealTime,RTWB,8,0,0,
10/5/23,Archival,A2M,8,0,0,
10/5/23,Archival,A7M,8,0,0,
10/5/23,Archival,T2M,8,0,0,
10/5/23,RealTime,RTWB,8,0,0,
10/13/23,Archival,A2M,8,0,0,
10/13/23,Archival,A7M,8,0,0,
10/13/23,Archival,T2M,8,0,0,
10/13/23,RealTime,RTWB,8,0,0,
10/21/23,Archival,A2M,8,0,0,
10/21/23,Archival,A7M,8,0,0,
10/21/23,Archival,T2M,8,0,0,
10/21/23,RealTime,RTWB,8,0,0,
10/29/23,Archival,A2M,8,0,0,
10/29/23,Archival,A7M,8,0,0,
10/29/23,Archival,T2M,8,0,0,
10/29/23,RealTime,RTWB,8,0,0,
11/6/23,Archival,A2M,8,0,0,
11/6/23,Archival,A7M,8,0,0,
11/6/23,Archival,T2M,8,0,0,
11/6/23,RealTime,RTWB,8,0,0,
11/14/23,Archival,A2M,8,3,37.5,
11/14/23,Archival,A7M,8,2,25,
11/14/23,Archival,T2M,8,1,12.5,
11/14/23,RealTime,RTWB,8,1,12.5,
11/22/23,Archival,A2M,8,0,0,
11/22/23,Archival,A7M,8,0,0,
11/22/23,Archival,T2M,8,0,0,
11/22/23,RealTime,RTWB,8,0,0,
11/30/23,Archival,A2M,8,4,50,
11/30/23,Archival,A7M,8,4,50,
11/30/23,Archival,T2M,8,3,37.5,
11/30/23,RealTime,RTWB,8,3,37.5,
12/8/23,Archival,A2M,8,3,37.5,
12/8/23,Archival,A7M,8,2,25,
12/8/23,Archival,T2M,8,0,0,
12/8/23,RealTime,RTWB,8,0,0,
12/16/23,Archival,A2M,8,0,0,
12/16/23,Archival,A7M,8,1,12.5,
12/16/23,Archival,T2M,8,2,25,
12/16/23,RealTime,RTWB,8,1,12.5,
12/24/23,Archival,A2M,8,8,100,
12/24/23,Archival,A7M,8,7,87.5,
12/24/23,Archival,T2M,8,5,62.5,
12/24/23,RealTime,RTWB,8,7,87.5,
1/1/24,Archival,A2M,8,6,75,
